RGP - count-left-right.py
3328
 3426co2     Co  490   0.994   2.722  17.952    1
 3426co2     Oc  491   0.951   2.619  17.910    1
 3426co2     Oc  492   1.046   2.825  17.980    1
 3427co2     Co  493   1.227   4.264  12.192    0
 3427co2     Oc  494   1.234   4.368  12.133    0
 3427co2     Oc  495   1.232   4.162  12.245    0
 3428co2     Co  496   2.697   2.302  24.516    0
 3428co2     Oc  497   2.792   2.240  24.514    0
 3428co2     Oc  498   2.597   2.361  24.529    0
 3429co2     Co  499   0.490   0.885  41.284    0
 3429co2     Oc  500   0.470   0.953  41.189    0
 3429co2     Oc  501   0.507   0.807  41.367    0
 3430co2     Co  502   2.847   3.748  16.615    0
 3430co2     Oc  503   2.760   3.735  16.695    0
 3430co2     Oc  504   2.933   3.744  16.536    0
 3431co2     Co  505   1.810   1.107  18.031    1
 3431co2     Oc  506   1.804   1.026  17.948    1
 3431co2     Oc  507   1.812   1.201  18.103    1
 3432co2     Co  508   2.813   3.136  15.242    0
 3432co2     Oc  509   2.885   3.046  15.223    0
 3432co2     Oc  510   2.742   3.220  15.259    0
 3433co2     Co  511   2.737   2.446  20.952    0
 3433co2     Oc  512   2.756   2.560  20.930    0
 3433co2     Oc  513   2.704   2.344  20.994    0
 3434co2     Co  514   3.116   1.885  30.939    2
 3434co2     Oc  515   3.173   1.883  31.041    2
 3434co2     Oc  516   3.056   1.900  30.838    2
 3435co2     Co  517   3.088   2.723  43.278    0
 3435co2     Oc  518   3.127   2.742  43.171    0
 3435co2     Oc  519   3.051   2.673  43.379    0
 3436co2     Co  520   1.959   1.406   4.745    0
 3436co2     Oc  521   1.867   1.346   4.782    0
 3436co2     Oc  522   2.055   1.461   4.707    0
 3437co2     Co  523   2.409   2.709  28.182    0
 3437co2     Oc  524   2.467   2.801  28.144    0
 3437co2     Oc  525   2.353   2.625  28.234    0
 3438co2     Co  526   3.328   3.683  24.829    0
 3438co2     Oc  527   3.437   3.650  24.808    0
 3438co2     Oc  528   3.219   3.722  24.860    0
 3439co2     Co  529   3.326   1.040  24.013    0
 3439co2     Oc  530   3.312   0.925  24.037    0
 3439co2     Oc  531   3.338   1.159  23.999    0
 3440co2     Co  532   3.633   1.877  46.934    0
 3440co2     Oc  533   0.014   1.887  47.026    0
 3440co2     Oc  534   3.558   1.873  46.856    0
 3441co2     Co  535   0.660   2.152  26.027    0
 3441co2     Oc  536   0.629   2.210  26.122    0
 3441co2     Oc  537   0.686   2.101  25.925    0
 3442co2     Co  538   2.525   4.136  31.497    0
 3442co2     Oc  539   2.621   4.158  31.550    0
 3442co2     Oc  540   2.430   4.125  31.438    0
 3443co2     Co  541   2.980   3.101  28.070    0
 3443co2     Oc  542   3.036   3.068  28.165    0
